Brazil/West,true,-240,GMT-4:00
BST,true,360,GMT+6:00
Canada/Atlantic,true,-240,GMT-4:00
Canada/Central,true,-360,GMT-6:00
Canada/East-Saskatchewan,true,-360,GMT-6:00
Canada/Eastern,true,-300,GMT-5:00
Canada/Mountain,true,-420,GMT-7:00
Canada/Newfoundland,true,-150,GMT-3:30
Canada/Pacific,true,-480,GMT-8:00
Canada/Saskatchewan,true,-360,GMT-6:00
Canada/Yukon,true,-480,GMT-8:00
CAT,true,120,GMT+2:00
CET,true,60,GMT+1:00
Chile/Continental,true,-240,GMT-4:00
Chile/EasterIsland,true,-360,GMT-6:00
CNT,true,-150,GMT-3:30
CST,true,-360,GMT-6:00
CST6CDT,true,-360,GMT-6:00
CTT,true,480,GMT+8:00
Cuba,true,-300,GMT-5:00
EAT,true,180,GMT+3:00
ECT,true,60,GMT+1:00
EET,true,120,GMT+2:00
Egypt,true,120,GMT+2:00
Eire,true,0,GMT+0:00
EST,true,-300,GMT-5:00
EST5EDT,true,-300,GMT-5:00
Etc/GMT,true,0,GMT+0:00
Etc/GMT+0,true,0,GMT+0:00
Etc/GMT+1,true,-60,GMT-1:00
Etc/GMT+10,true,-600,GMT-10:00
Etc/GMT+11,true,-660,GMT-11:00
Etc/GMT+12,true,-720,GMT-12:00
Etc/GMT+2,true,-120,GMT-2:00
Etc/GMT+3,true,-180,GMT-3:00
Etc/GMT+4,true,-240,GMT-4:00
Etc/GMT+5,true,-300,GMT-5:00
Etc/GMT+6,true,-360,GMT-6:00
Etc/GMT+7,true,-420,GMT-7:00
Etc/GMT+8,true,-480,GMT-8:00
Etc/GMT+9,true,-540,GMT-9:00
Etc/GMT-0,true,0,GMT+0:00
Etc/GMT-1,true,60,GMT+1:00
Etc/GMT-10,true,600,GMT+10:00
Etc/GMT-11,true,660,GMT+11:00
Etc/GMT-12,true,720,GMT+12:00
Etc/GMT-13,true,780,GMT+13:00
Etc/GMT-14,true,840,GMT+14:00
Etc/GMT-2,true,120,GMT+2:00
Etc/GMT-3,true,180,GMT+3:00
Etc/GMT-4,true,240,GMT+4:00
Etc/GMT-5,true,300,GMT+5:00
Etc/GMT-6,true,360,GMT+6:00
Etc/GMT-7,true,420,GMT+7:00
Etc/GMT-8,true,480,GMT+8:00
Etc/GMT-9,true,540,GMT+9:00
Etc/GMT0,true,0,GMT+0:00
Etc/Greenwich,true,0,GMT+0:00
Etc/UCT,true,0,GMT+0:00
Etc/Universal,true,0,GMT+0:00
Etc/UTC,true,0,GMT+0:00
Etc/Zulu,true,0,GMT+0:00
Europe/Amsterdam,true,60,GMT+1:00
Europe/Andorra,true,60,GMT+1:00
Europe/Astrakhan,true,240,GMT+4:00
Europe/Athens,true,120,GMT+2:00
Europe/Belfast,true,0,GMT+0:00
Europe/Belgrade,true,60,GMT+1:00
Europe/Berlin,true,60,GMT+1:00
Europe/Bratislava,true,60,GMT+1:00
Europe/Brussels,true,60,GMT+1:00
Europe/Bucharest,true,120,GMT+2:00
Europe/Budapest,true,60,GMT+1:00
Europe/Busingen,true,60,GMT+1:00
Europe/Chisinau,true,120,GMT+2:00
Europe/Copenhagen,true,60,GMT+1:00
Europe/Dublin,true,0,GMT+0:00
Europe/Gibraltar,true,60,GMT+1:00
Europe/Guernsey,true,0,GMT+0:00
Europe/Helsinki,true,120,GMT+2:00
Europe/Isle_of_Man,true,0,GMT+0:00
Europe/Istanbul,true,180,GMT+3:00
Europe/Jersey,true,0,GMT+0:00
Europe/Kaliningrad,true,120,GMT+2:00
Europe/Kiev,true,120,GMT+2:00
Europe/Kirov,true,180,GMT+3:00
Europe/Lisbon,true,0,GMT+0:00
Europe/Ljubljana,true,60,GMT+1:00
Europe/London,true,0,GMT+0:00
Europe/Luxembourg,true,60,GMT+1:00
Europe/Madrid,true,60,GMT+1:00
Europe/Malta,true,60,GMT+1:00
Europe/Mariehamn,true,120,GMT+2:00
Europe/Minsk,true,180,GMT+3:00
Europe/Monaco,true,60,GMT+1:00
Europe/Moscow,true,180,GMT+3:00
Europe/Nicosia,true,120,GMT+2:00
Europe/Oslo,true,60,GMT+1:00
Europe/Paris,true,60,GMT+1:00
Europe/Podgorica,true,60,GMT+1:00
Europe/Prague,true,60,GMT+1:00
Europe/Riga,true,120,GMT+2:00
Europe/Rome,true,60,GMT+1:00
Europe/Samara,true,240,GMT+4:00
Europe/San_Marino,true,60,GMT+1:00
Europe/Sarajevo,true,60,GMT+1:00
Europe/Simferopol,true,180,GMT+3:00
Europe/Skopje,true,60,GMT+1:00
Europe/Sofia,true,120,GMT+2:00
Europe/Stockholm,true,60,GMT+1:00
Europe/Tallinn,true,120,GMT+2:00
Europe/Tirane,true,60,GMT+1:00
Europe/Tiraspol,true,120,GMT+2:00
Europe/Ulyanovsk,true,240,GMT+4:00
Europe/Uzhgorod,true,120,GMT+2:00
Europe/Vaduz,true,60,GMT+1:00
Europe/Vatican,true,60,GMT+1:00
Europe/Vienna,true,60,GMT+1:00
Europe/Vilnius,true,120,GMT+2:00
Europe/Volgograd,true,180,GMT+3:00
Europe/Warsaw,true,60,GMT+1:00
Europe/Zagreb,true,60,GMT+1:00
Europe/Zaporozhye,true,120,GMT+2:00
Europe/Zurich,true,60,GMT+1:00
GB,true,0,GMT+0:00
GB-Eire,true,0,GMT+0:00
GMT,true,0,GMT+0:00
GMT0,true,0,GMT+0:00
Greenwich,true,0,GMT+0:00
Hongkong,true,480,GMT+8:00
HST,true,-600,GMT-10:00
Iceland,true,0,GMT+0:00
IET,true,-300,GMT-5:00
Indian/Antananarivo,true,180,GMT+3:00
Indian/Chagos,true,360,GMT+6:00
Indian/Christmas,true,420,GMT+7:00
Indian/Cocos,true,390,GMT+6:30
Indian/Comoro,true,180,GMT+3:00
Indian/Kerguelen,true,300,GMT+5:00
Indian/Mahe,true,240,GMT+4:00
Indian/Maldives,true,300,GMT+5:00
Indian/Mauritius,true,240,GMT+4:00
Indian/Mayotte,true,180,GMT+3:00
Indian/Reunion,true,240,GMT+4:00
